Fx,Fy,FzTx,Ty,Tz
0,0,0,0,0,0
0.00159456,0.00107271,0.00731233,0.00458836,0.0255957,-0.0412268
0.00195612,0.000110925,-0.00868937,0.0044968,-0.0637178,0.0227151
0.00407017,-0.00226062,-0.00743529,0.0431282,-0.10753,0.0818048
0.00182415,-0.000221668,-0.00832602,-0.0224273,0.0638647,-0.0206274
0.00193001,-0.000219284,-0.00516364,-0.0716941,0.0915747,0.023501
-0.00123643,0.000735105,0.000347648,-0.0481231,-0.0157251,-0.0324072
0.00180615,-4.1424e-05,-0.00117394,-0.0473449,-0.00548267,-0.0601019
-0.00136696,-0.000590621,-0.00160977,0.0418427,0.0106192,-0.00442261
-0.00132512,-0.000671922,-0.0012612,-0.031594,0.0532064,-0.0478186
0.00188268,0.00584823,-0.0087566,-0.0374267,0.0716619,0.0516992
0.00286258,-0.00311297,0.00171617,-0.0148704,0.012023,0.013186
0.00398589,-0.00238317,-0.000223603,-0.0083511,-0.0499277,0.0418268
0.00380625,0.00362474,-0.00321146,0.0251915,-0.0685778,-0.0156378
0.0014037,0.0033856,0.0169764,-0.0827987,0.0600004,-0.180051
0.00374259,9.92429e-05,0.00906518,0.00260853,-0.100335,-0.0533347
0.00269927,0.00143319,-0.0100393,0.0368645,0.0891562,-0.020246
0.00181545,3.3201e-05,0.00053123,-0.0472534,-0.0335321,-0.0591864
0.00409735,-9.18496e-05,-0.00894591,-0.0420387,0.0085516,0.0662866
0.0018474,0.00232691,-0.00336262,-0.0337989,0.0251646,0.010882
0.00082649,-0.00296467,-0.00518557,0.0333321,-0.0334024,0.00905853
-0.00159119,0.00299269,0.00214294,0.0844376,0.0031271,-0.0446906
4.20928e-05,-0.00097984,-0.00919577,-0.00431133,-0.0550547,0.092608
0.00270511,0.00766093,-0.00269362,-0.0519455,0.0286016,-0.0733542
0.00194062,-0.00342423,-0.00156256,-0.0166938,-0.0960398,-0.0174612
-0.000342596,-0.002294,0.00208333,0.0333435,-0.0533533,-0.0451788
0.000886333,-0.000446974,-0.00396248,0.0470536,-0.0588579,0.0818506
0.00426437,0.00259048,-0.017755,-0.0242584,-0.10212,0.0915247
-0.0012381,-0.00620955,-0.00187251,0.109046,-0.167619,0.00969177
-0.00217961,0.00144297,-0.0104952,0.0301239,-0.0531931,0.0340601
0.00407482,0.00107819,-0.0066795,-0.109116,0.0253363,-0.00450653
0.00184418,-0.00362462,-0.00326153,0.006469,-0.0254908,-0.0183463
0.00284435,-0.00176507,-0.010159,0.0688012,-0.0854883,-0.0202078
-0.00238882,0.00138861,0.00214294,0.00180744,-0.0366144,-0.0460028
0.0017841,2.581e-05,0.000208888,0.00127338,-0.0338907,-0.0160651
-0.00121652,-0.00155312,-0.00185677,0.0372345,-0.0763483,0.0241266
-0.00149785,0.000630678,0.000609908,0.0478318,-0.0145502,-0.0746664
0.00370539,0.00351924,0.00947336,-0.0762031,-0.0100489,-0.0962653
-0.000168669,0.00134653,-0.00126359,-0.06688,-0.0348253,-0.0468649
-0.00415467,-0.00200254,-0.0105457,0.0325959,-0.0893488,0.0323282
0.00252069,-0.00183946,0.0079327,0.0387185,-0.0677118,-0.140638
0.00255872,-0.00181359,0.014513,0.0128815,-0.0536051,-0.0946707
0.00160636,-0.00229531,0.00923398,0.0345948,-0.0917521,-0.083364
0.00100673,0.000747265,-0.0140319,0.00793003,-0.0580225,0.0482813
-0.000210035,-0.000179707,-0.00658509,-0.0501602,0.0895796,-0.0212531
-0.000454175,0.00341731,-0.00456473,0.017257,0.0679083,-0.0621619
0.00289787,0.000681103,-0.00343606,0.00770496,-0.0677958,0.0116754
0.000859392,0.00171286,-0.0065808,-0.0621917,0.0440435,-0.0202765
0.00394512,-0.000137984,-0.0100741,-0.0179603,-0.00434971,-0.0200247
-0.00149404,0.00185841,-0.000890222,0.0307495,-0.0267458,-0.10391
0.00215341,-0.0021953,-0.00394341,-0.0575798,-0.0679178,0.0815378
0.00140227,0.00105435,0.00271944,0.0783036,-0.0156565,-0.128828
0.00380088,-0.00483256,0.00397876,0.00107883,-0.0654993,-0.0710577
3.43442e-05,0.000279368,-0.0210442,0.0544503,-0.110337,0.0589471
0.00419499,0.000218095,-0.0086846,-0.0640037,-0.118028,0.0236688
0.00492789,0.00280064,-0.00700804,-0.00120998,0.0222197,0.0399042
0.0016873,0.00237256,0.00268844,-0.0595443,-0.014863,-0.115179
-0.000356901,0.00478941,0.000186477,-0.000382195,0.0269651,-0.00233215
0.00194122,-0.00219983,-0.0102687,0.0409539,-0.123345,-0.00671143
0.0032797,0.00431889,-0.0297422,-0.0132644,-0.0666971,0.0853754
0.0018083,0.00246412,-0.00826403,0.0170243,-0.0592203,-0.0339178
0.000865591,0.00178439,-0.0120802,0.0126297,0.000891685,0.0206323
0.00508429,0.00301224,-0.0118713,-0.0467002,-0.0627069,-0.00546021
0.00715925,0.000725211,-0.00376221,-0.00936962,-0.134011,0.0570245
0.00385989,-0.00215155,0.00688127,0.0398018,-0.161229,0.00291687
0.00301613,0.00192899,-0.0103898,-0.00762249,-0.081193,0.0227838
0.00276781,-0.00197941,-0.0101251,0.0671456,-0.000771523,-0.0204443
0.00512053,-0.000517188,-0.0108423,0.0309098,-0.0969591,0.0809656
0.00363995,0.00471372,0.00107053,-0.0189178,-0.0367136,-0.128339
0.00268317,0.00177986,0.00599626,-0.0377853,-0.0353632,-0.0985464
0.00495566,0.00185293,-0.00494477,-0.00647045,-0.0915384,-0.0163016
0.00154103,-0.00620717,0.000626121,0.0876763,0.00107479,-0.0880865
0.000641119,-0.00180501,0.00768474,-0.036885,-0.0148516,-0.0996146
0.00192679,5.00095e-05,-0.0121274,0.0292237,-0.0498362,0.0211664
0.00256802,0.00626379,0.000848804,-0.0368011,0.0981054,-0.0862708
0.0037532,-0.000209271,-0.00290772,0.00363468,0.0112982,-0.0594458
0.00166239,-0.000122486,0.000840697,-0.0243728,0.00959682,-0.102003
0.00176371,0.00370151,-0.00461384,-0.00143887,-0.0708513,-0.0606741
0.00190009,-0.00462109,0.00367788,-0.0247123,-0.097085,-0.0295081
0.00686921,0.00171954,0.00426725,-0.0553062,-0.072896,-0.0969443
0.00492789,0.00051421,-0.00279328,-0.0631912,-0.0361185,-0.0732855
0.00687767,-0.00192457,-0.00125739,0.0232308,-0.0790262,-0.056745
0.00793506,-0.00149745,-0.00313612,0.00318836,-0.0140314,-0.0286078
0.00200678,0.00488109,-0.016993,-0.0399139,-0.0432253,-0.00947327
0.0101676,-0.00140887,-0.0093908,-0.0880096,-0.0820971,-0.116743
0.0081854,-0.00475031,-0.0104155,0.0367806,-0.161836,0.010882
0.0091175,0.0039677,-0.0102377,-0.0358131,-0.0275126,0.0122629
0.00485803,0.00181574,-0.00496384,0.0416939,-0.09126,-0.0160193
0.00475098,-0.000855385,-0.00271603,0.00159,0.00503826,-0.0874915
0.00449754,0.00288719,0.00959924,0.0429757,-0.0579882,-0.123464
0.00833656,0.00346142,-0.0229773,-0.0120781,-0.0394373,0.105853
0.00784899,-0.00129348,0.00743345,0.00170444,-0.0969858,-0.066236
0.00408019,0.00131279,-0.0104999,-0.00930096,-0.0880899,0.0375772
0.00589789,0.00364763,-0.00839755,0.0543892,-0.122918,-0.0165839
0.00804473,-0.00226885,-0.00516793,0.0732071,-0.199624,-0.000165405
-0.00123023,-0.00402695,-0.00511452,0.0486977,-0.0657015,-0.00646729
0.00498618,-0.000523626,-0.00712105,0.0539811,-0.109929,0.0399652
0.00495828,0.00297111,-0.00500819,-0.0247429,-0.0476999,-0.00204224
0.00507571,-0.00183898,-0.00321766,-0.0757263,-0.0406199,-0.0166602
0.00263168,-0.00304705,0.00397972,0.0575478,-0.0567141,-0.0710272
0.00297416,0.00428444,-0.00680205,-0.0443618,-0.0489893,0.0102869
-0.000317442,0.000201048,0.0039306,-0.00182796,-0.077817,-0.0583548
0.000810277,0.000551046,-0.00448271,-0.0691078,0.0150137,-0.0767264
0.000583184,-0.000755011,0.00386194,0.0180924,0.0425024,-0.043775
-3.39627e-05,-0.0023089,-0.00189301,-0.0624168,0.000929832,0.0381036
-0.000111091,-0.00113565,-0.00888583,0.0185769,-0.0119219,0.0497919
-0.00457345,0.00350803,-0.00313803,0.0351517,0.104808,-0.0209174
0.000784528,-0.000609218,-0.0015988,-0.00340343,-0.00119495,-0.00344604
0.00179077,-0.00129026,0.0017362,-0.00655819,0.0205297,0.012919
-0.0024892,-0.00237852,0.0179186,-0.0720642,0.0446997,-0.0826544
-0.00650893,0.00025493,0.0122753,-0.0379531,0.0275831,-0.0155157
-0.00409995,0.000280679,-0.00550219,-0.0535019,-0.00137424,0.0630365
-0.0041567,-0.00222176,-0.00767228,0.030204,0.022727,0.119341
-0.00657033,-0.00354403,0.00943664,-0.0583999,0.0794744,-0.103742
-0.00866019,-0.00106114,0.00753215,-0.0232208,0.0800734,-0.0766119
-0.0105256,-0.00216192,0.00187496,-0.030648,0.0881681,-0.00919861
-0.00629233,-0.000897704,-0.000273194,-0.0162666,0.00939465,0.0500208
-0.0081421,0.000422181,-0.00578829,-0.0589531,0.0210714,0.10335
-0.0062059,-0.000881492,0.00115684,-0.040715,0.022933,0.0935083
-0.010762,0.000448765,0.015985,0.00419926,-0.00452518,-0.0587897
